Date,Yield to Maturity
01/09/2015,0.712
02/09/2015,0.7121
03/09/2015,0.6963
04/09/2015,0.7087
04/09/2015,0.7087
08/09/2015,0.7367
09/09/2015,0.7409
10/09/2015,0.737
11/09/2015,0.7094
14/09/2015,0.7296
15/09/2015,0.8105
16/09/2015,0.8108
17/09/2015,0.6856
18/09/2015,0.6777
21/09/2015,0.7103
22/09/2015,0.6779
23/09/2015,0.7031
24/09/2015,0.6876
25/09/2015,0.6996
28/09/2015,0.6722
29/09/2015,0.6526
30/09/2015,0.6289
01/10/2015,0.6487
02/10/2015,0.5814
05/10/2015,0.6091
06/10/2015,0.6091
07/10/2015,0.629
08/10/2015,0.6369
09/10/2015,0.641
09/10/2015,0.641
13/10/2015,0.617
14/10/2015,0.5527
15/10/2015,0.6008
16/10/2015,0.6129
19/10/2015,0.5967
20/10/2015,0.6331
21/10/2015,0.625
22/10/2015,0.6046
23/10/2015,0.6454
26/10/2015,0.6372
27/10/2015,0.6209
28/10/2015,0.707
29/10/2015,0.7277
30/10/2015,0.7281
02/11/2015,0.7572
03/11/2015,0.7698
04/11/2015,0.8158
05/11/2015,0.8295
06/11/2015,0.8899
09/11/2015,0.8901
10/11/2015,0.8744
10/11/2015,0.8744
12/11/2015,0.8746
13/11/2015,0.8509
16/11/2015,0.855
17/11/2015,0.8592
18/11/2015,0.8797
19/11/2015,0.8921
20/11/2015,0.9213
23/11/2015,0.9256
24/11/2015,0.9303
25/11/2015,0.9343
25/11/2015,0.9343
27/11/2015,0.9264
30/11/2015,0.9344
01/12/2015,0.9106
02/12/2015,0.9385
03/12/2015,0.9585
04/12/2015,0.9468
07/12/2015,0.9349
08/12/2015,0.935
09/12/2015,0.923
10/12/2015,0.9472
11/12/2015,0.879
14/12/2015,0.9476
15/12/2015,0.9679
16/12/2015,1.0086
17/12/2015,0.9884
18/12/2015,0.9522
21/12/2015,0.9523
22/12/2015,0.977
23/12/2015,0.9894
24/12/2015,1.0065
24/12/2015,1.0065
28/12/2015,1.0108
29/12/2015,1.095
30/12/2015,1.0752
31/12/2015,1.0517
31/12/2015,1.0517
04/01/2016,1.0358
05/01/2016,1.0199
06/01/2016,0.98
07/01/2016,0.952
08/01/2016,0.9358
11/01/2016,0.9357
12/01/2016,0.9276
13/01/2016,0.9154
14/01/2016,0.8991
15/01/2016,0.85
15/01/2016,0.85
19/01/2016,0.87
20/01/2016,0.8293
21/01/2016,0.8372
22/01/2016,0.8732
25/01/2016,0.8608
26/01/2016,0.8442
27/01/2016,0.837
28/01/2016,0.8251
29/01/2016,0.7777
01/02/2016,0.8014
02/02/2016,0.7421
03/02/2016,0.7262
04/02/2016,0.7064
05/02/2016,0.73
08/02/2016,0.6742
09/02/2016,0.694
10/02/2016,0.694
11/02/2016,0.6579
12/02/2016,0.7137
12/02/2016,0.7137
16/02/2016,0.7217
17/02/2016,0.7459
18/02/2016,0.6974
19/02/2016,0.7459
22/02/2016,0.754
23/02/2016,0.7336
24/02/2016,0.7617
25/02/2016,0.7303
26/02/2016,0.7973
29/02/2016,0.7855
01/03/2016,0.849
02/03/2016,0.8451
03/03/2016,0.8452
04/03/2016,0.8656
07/03/2016,0.9097
08/03/2016,0.8699
09/03/2016,0.8941
10/03/2016,0.9305
11/03/2016,0.9595
14/03/2016,0.9597
15/03/2016,0.9682
16/03/2016,0.8631
17/03/2016,0.8673
18/03/2016,0.8393
21/03/2016,0.8761
22/03/2016,0.8926
23/03/2016,0.856
24/03/2016,0.8731
24/03/2016,0.8731
28/03/2016,0.8691
29/03/2016,0.7882
30/03/2016,0.7606
31/03/2016,0.725
01/04/2016,0.7481
04/04/2016,0.7361
05/04/2016,0.72
06/04/2016,0.7397
07/04/2016,0.6957
08/04/2016,0.6989
11/04/2016,0.6987
12/04/2016,0.7385
13/04/2016,0.7504
14/04/2016,0.7703
15/04/2016,0.7376
18/04/2016,0.7455
