Updated at 19:42:44,Price Close,,,,,,,,,,,,
,SPY,IWM,VEA,VWO,IEF.O,LQD,HYG,TIP,VNQ,PSP,WOOD.O,IGF.O,
5/16/2018,272.24,160.92,45.35,46.01,100.42,114.03,85.44,111.27,76.12,61.55,82.22,43.29,
5/17/2018,272.01,161.66,45.41,45.37,100.36,113.81,85.49,111.06,75.74,61.7,81.96,43.1,
5/18/2018,271.33,161.87,45.25,44.95,100.75,114.28,85.4,111.36,75.84,61.6,82.18,42.9,
5/21/2018,273.37,162.94,45.54,45.24,100.82,114.35,85.52,111.4,76.74,62.2,82.77,43.24,
5/22/2018,272.61,161.76,45.51,45.42,100.78,114.23,85.58,111.35,76.85,62.35,82.36,43.21,
5/23/2018,273.36,161.97,45.08,45.22,101.24,114.72,85.65,111.67,77.62,61.85,81.79,43.1,
5/24/2018,272.8,162.03,44.93,45.06,101.5,115.04,85.7,111.8,77.46,61.55,81.95,43.03,
5/25/2018,272.15,161.74,44.68,45.17,101.9,115.38,85.56,111.96,77.73,61.3,81.58,42.86,
5/29/2018,269.02,161.52,43.78,44.17,103,115.99,85.2,112.62,78.1,60,80.41,42.28,
5/30/2018,272.61,164.08,44.41,44.56,102.56,115.54,85.46,112.41,79.16,60.7,81.84,43.01,
5/31/2018,270.94,162.77,44.17,44.61,102.51,115.49,85.38,112.48,78.89,60.6,80.98,42.98,
6/1/2018,273.6,163.84,44.5,45.11,101.93,114.91,85.19,111.98,79.24,61.3,81.95,42.79,
6/4/2018,274.9,164.71,44.7,45.58,101.57,114.65,85.37,111.75,79.93,61.5,82.69,42.89,
6/5/2018,275.1,165.73,44.65,45.18,101.83,114.73,85.47,112,79.72,61.45,82.56,42.73,
6/6/2018,277.4,166.93,45.03,45.83,101.42,114.31,85.68,111.76,79.91,61.9,83.76,42.61,
6/7/2018,277.37,166.02,44.77,45.13,101.85,114.69,85.71,112.1,79.91,61.85,83.26,42.57,
6/8/2018,278.19,166.52,44.85,45.1,101.71,114.5,85.66,111.91,80.2,61.7995,83.28,42.41,
6/11/2018,278.56,166.77,45.14,45.04,101.61,114.39,85.82,111.91,80.08,62.1,82.75,42.73,
6/12/2018,278.92,167.53,44.86,45.01,101.55,114.4,85.89,111.82,80.56,61.95,82.73,42.9,
6/13/2018,278.03,166.87,44.88,44.68,101.43,114.29,85.92,111.75,78.99,62.125,81.56,42.96,
6/14/2018,278.73,167.76,44.77,44.44,101.75,114.81,86.17,112.04,79.74,62.3505,80.84,43.05,
6/15/2018,277.13,167.81,44.46,44.2,101.83,114.65,86.12,112.08,79.69,62.15,80.51,43.01,
6/18/2018,276.56,168.6,44.15,43.69,101.88,114.53,86.11,112.17,78.98,61.4,80.3,43.01,
6/19/2018,275.5,168.61,43.67,43.19,102.145,114.59,85.99,112.35,78.9,60.9,78.33,42.27,
6/20/2018,275.97,169.97,43.76,43.33,101.82,113.95,86.08,112.04,79.78,60.9,77.59,42.33,
6/21/2018,274.24,168.38,43.46,42.72,102.09,113.86,85.9,112.24,80.16,60.75,76.77,42.19,
6/22/2018,274.74,167.82,43.38,42.79,102.11,114,85.91,112.4,80.79,60.9,77.22,42.52,
6/25/2018,271,165.08,42.77,42.23,102.25,113.89,85.71,112.45,80.58,60,76.78,42.48,
6/26/2018,271.6,166.04,42.82,42.06,102.3,114.27,85.7,112.61,80.84,59.9,77.68,42.59,
6/27/2018,269.35,163.38,42.43,41.13,102.69,114.66,85.52,112.98,80.53,59.3,77.03,42.43,
6/28/2018,270.89,163.88,42.58,41.52,102.59,114.51,85.28,112.83,81.25,59.1,77.47,42.57,
6/29/2018,271.28,163.77,42.9,42.2,102.51,114.57,85.08,112.87,81.45,59.9,78.12,42.95,
7/2/2018,271.86,164.9,42.44,41.74,102.25,114.24,84.78,112.48,81,60,77.34,42.83,
7/3/2018,270.9,164.96,42.53,41.78,102.51,114.66,84.79,112.72,81.61,60.45,77.95,43.11,
7/5/2018,273.11,166.84,42.8,41.74,102.52,115.02,85.11,112.85,82.58,60.95,78,43.41,
7/6/2018,275.42,168.25,43.09,42.25,102.61,115.18,85.33,113.01,83.02,61.45,78.61,43.92,
7/9/2018,277.9,169.31,43.48,43.02,102.35,115.26,85.46,112.78,82.36,61.95,79.25,43.51,
7/10/2018,278.9,168.54,43.53,42.98,102.27,115.13,85.47,112.61,82.53,61.75,79.24,43.66,
7/11/2018,276.86,167.11,42.77,42.18,102.48,115.36,85.34,112.73,82.26,61.2,77.77,43.26,
7/12/2018,279.37,167.92,43.13,42.77,102.44,115.61,85.61,112.64,82.51,61.75,77.86,43.59,
7/13/2018,279.59,167.42,43.25,42.8,102.61,115.7,85.61,112.86,82.26,61.85,77.99,43.65,
7/16/2018,279.34,166.77,43.26,42.56,102.44,115.51,85.55,112.56,81.82,62.05,78.29,43.52,
7/17/2018,280.47,167.51,43.31,42.89,102.38,115.43,85.58,112.41,81.28,62.3,78.87,43.42,
7/18/2018,281.06,167.98,43.33,42.85,102.3,115.41,85.62,112.23,80.92,62.75,77.58,43.34,
7/19/2018,280,169.17,43.15,42.36,102.58,115.59,85.58,112.39,81.87,62.25,77.13,43.51,
7/20/2018,279.68,168.48,43.41,42.91,102.22,115.25,85.62,112.12,81.08,62.5,75.01,43.58,
7/23/2018,280.2,168.69,43.34,42.78,101.72,114.79,85.59,111.59,80.91,62.15,74.37,43.38,
7/24/2018,281.61,166.89,43.61,43.42,101.79,115.15,85.77,111.65,80.5,62.35,75.16,43.45,
7/25/2018,284.01,167.5,43.94,44.11,101.72,115.3,85.93,111.67,81.14,63,75.79,43.67,
7/26/2018,283.34,168.4,43.76,43.68,101.61,115.41,85.94,111.56,81.41,62.275,75.81,43.65,
7/27/2018,281.42,165.26,43.87,43.74,101.77,115.56,85.91,111.73,80.54,62.45,75.45,43.67,
7/30/2018,279.95,164.2,43.84,43.68,101.64,115.4,85.94,111.67,80.59,62.3,75.32,43.52,
7/31/2018,281.33,165.87,43.88,43.88,101.78,115.76,86.12,111.84,81.94,62.3,75.585,43.75,
8/1/2018,280.86,165.76,43.73,43.55,101.34,115.01,85.83,111.1,82.52,62.2,75.52,43.18,
8/2/2018,282.39,166.97,43.4,43.05,101.46,115.15,85.88,111.16,82.19,61.75,75.59,43.28,
8/3/2018,283.6,166.39,43.46,43.32,101.72,115.51,85.95,111.38,83.08,62,75.66,43.53,
8/6/2018,284.64,167.32,43.25,42.99,101.77,115.62,86.11,111.4,82.97,62.1,75.64,43.61,
8/7/2018,285.58,167.72,43.52,43.38,101.56,115.26,86.15,111.25,82.82,62.3,75.41,43.71,
8/8/2018,285.46,167.57,43.51,43.28,101.65,115.08,86.1,111.26,82.34,62.85,75.92,43.6,
8/9/2018,285.07,168,43.43,43.22,101.93,115.17,86.04,111.52,82.38,62.825,75.8,43.59,
8/10/2018,283.16,167.53,42.61,42.36,102.37,115.36,85.89,111.88,81.75,62,75.09,43.11,
8/13/2018,282.1,166.55,42.4,41.68,102.34,115.33,85.83,111.86,81.59,61.65,74.62,42.97,
8/14/2018,283.9,168.2,42.46,41.93,102.24,115.48,85.98,111.72,81.99,61.8,75.26,43.05,
8/15/2018,281.78,166.09,41.81,40.7,102.49,115.72,85.83,111.94,82.62,60.75,74.5,42.57,
8/16/2018,284.06,167.63,42.1,40.99,102.46,115.87,85.94,111.87,83.29,61.05,75.75,42.65,
8/17/2018,285.06,168.35,42.38,41.34,102.5,115.97,86.04,111.92,84.06,61.6,76.59,42.9,
8/20/2018,285.67,168.82,42.56,41.52,102.82,116.27,86.08,112.14,84.12,61.95,77.21,42.99,
8/21/2018,286.34,170.76,42.84,41.97,102.68,115.98,86.21,112.07,83.61,62.4,77.34,43.11,
8/22/2018,286.17,171.18,43.05,42.22,102.87,115.97,86.24,112.31,83.14,62.75,77.25,43.2,
8/23/2018,285.79,170.66,42.73,41.56,102.86,116.01,86.23,112.4,82.93,62.5,76.8401,42.86,
8/24/2018,287.51,171.59,43.05,42.18,102.89,116.24,86.38,112.51,83.42,63.15,77.41,43.07,
8/27/2018,289.78,171.84,43.64,42.87,102.66,116.06,86.41,112.34,83.12,63.7,78.38,43.22,
8/28/2018,289.92,172,43.54,42.66,102.43,115.62,86.37,112.12,84.24,63.6,78.9,43.04,
8/29/2018,291.48,172.5,43.78,42.9,102.4,115.5,86.32,112.12,84.26,63.65,78.72,43.23,
8/30/2018,290.3,172.36,43.39,41.76,102.59,115.61,86.25,112.22,83.72,62.95,78.21,42.9,
8/31/2018,290.31,173.02,43.12,42.04,102.61,115.44,86.36,112.09,84.05,62.75,78.15,42.62,
9/4/2018,289.81,172.25,42.69,41.1,102.17,114.88,85.81,111.55,83.05,62.1,77.1623,42.39,
9/5/2018,289.03,171.79,42.37,40.66,102.16,114.81,85.72,111.44,83.53,61.45,77.755,42.55,
9/6/2018,288.16,170.63,42.22,40.64,102.37,115.13,85.79,111.54,83.77,61.45,77.76,42.59,
9/7/2018,287.6,170.54,41.88,40.46,101.91,114.65,85.7,111.22,82.86,61.25,77.4664,42.11,
9/10/2018,288.1,170.75,42.11,39.98,101.97,115.03,85.87,111.25,83.23,61.65,77.49,42.34,
9/11/2018,289.05,171.03,42.17,40.03,101.6,114.77,85.89,111.02,83.22,61.95,77.56,42.37,
9/12/2018,289.12,170.62,42.35,40.28,101.72,115,86.09,111.12,83.26,62.45,77.75,42.53,
9/13/2018,290.83,170.66,42.62,40.79,101.71,115.24,86.25,110.96,83.67,63.05,78.02,42.7,
9/14/2018,290.88,171.38,42.71,40.74,101.52,115.1,86.33,110.76,83.14,63.2,77.64,42.39,
9/17/2018,289.34,169.56,42.75,40.42,101.54,115.03,86.27,110.78,83.41,63.25,77.83,42.7,
9/18/2018,290.91,170.27,43.19,40.74,101.12,114.56,86.26,110.55,83.01,63.55,77.25,42.91,
9/19/2018,291.22,169.65,43.34,41.29,100.945,114.39,86.1,110.43,82.04,63.55,76.67,42.49,
9/20/2018,293.58,171.22,43.81,41.63,100.96,114.69,86.22,110.58,82.81,64.25,77.13,42.59,
9/21/2018,291.99,170.4,43.82,41.8,101,114.71,86.24,110.59,82.78,64.4,76.9883,42.69,
9/24/2018,291.02,169.77,43.63,41.28,100.89,114.45,86.2,110.48,80.17,62.85,76.69,42.41,
9/25/2018,290.75,170.03,43.84,41.54,100.79,114.45,86.13,110.44,80.18,62.55,76.3,42.26,
9/26/2018,289.88,168.03,43.7,41.14,101.12,114.86,86.22,110.63,79.22,62.5,76.82,42.01,
9/27/2018,290.69,168.04,43.58,41.26,101.12,115.01,86.38,110.67,79.6,62.1,76.37,41.98,
9/28/2018,290.72,168.55,43.27,41,101.17,114.93,86.44,110.62,80.68,61.5,75.28,42.12,
10/1/2018,291.73,166.33,43.38,41.1,100.71,114.42,86.3,110.19,79.93,61.7,75.21,42.31,
10/2/2018,291.56,164.53,43.1,40.66,100.97,114.52,86.23,110.37,79.75,61.25,74.82,42.31,
10/3/2018,291.72,165.97,43.03,40.32,100.22,113.85,86,109.84,78.9,61.45,73.37,42.13,
10/4/2018,289.44,163.64,42.48,39.4,99.96,113.38,85.68,109.57,78.24,60.45,72.48,41.75,
10/5/2018,287.82,162.16,42.27,39.22,99.72,112.94,85.3,109.27,78.2,60,72.52,41.91,
10/8/2018,287.82,161.82,42.04,39.29,99.76,112.82,85.11,109.22,79.33,59.2,72.57,41.95,
10/9/2018,287.4,161.19,41.89,39.19,99.95,113.14,85.24,109.53,79.44,58.9,71.13,42.01,
10/10/2018,278.3,156.56,40.94,38.1,100,112.83,84.63,109.42,78.26,57.05,68.68,41.38,
10/11/2018,272.17,153.57,40.37,37.76,100.41,113.3,84.7,109.6,76.02,56.35,67.64,40.88,
10/12/2018,275.95,153.6,40.57,38.72,100.29,113.32,85.15,109.43,75.82,56.9,67.78,40.88,
10/15/2018,274.4,154.17,40.5,38.34,100.35,113.11,85.09,109.5,76.33,56.65,67.5666,40.94,
10/16/2018,280.4,158.64,41.2,39.22,100.34,113.4,85.38,109.51,77.9,57.8,68.53,41.61,
10/17/2018,280.45,157.96,40.95,38.75,100.05,112.84,85.21,109.25,77.6,57.35,67.3,41.32,
10/18/2018,276.4,155,40.3,37.74,100.23,112.84,84.85,109.17,77.45,56.3,66.66,41.04,
10/19/2018,276.25,153.36,40.51,38.09,100.11,112.7,84.9,109.07,78.12,56.1,67.31,41.57,
10/22/2018,275.01,153.03,40.32,38.49,100.13,112.56,84.94,109.01,77.03,56.2,66.47,41.3,
10/23/2018,273.61,151.66,39.91,38.11,100.39,112.72,84.86,109.04,77.37,55.4,66.33,41.05,
10/24/2018,265.32,145.95,38.81,37,100.93,112.88,84.44,109.4,78.1,53.7,64.92,40.86,
10/25/2018,270.08,149.11,39.24,37.7,100.69,112.74,84.61,108.94,79.1,54.5,66.6,40.84,
10/26/2018,265.33,147.48,38.91,37.41,101.14,112.93,84.23,109.49,77.2,54.15,65.52,40.49,
10/29/2018,263.86,146.67,38.75,36.68,101.13,112.8,84.15,109.38,78.18,53.5,64.91,40.28,
10/30/2018,267.77,149.73,39.23,37.43,100.91,112.55,84.35,109.09,79.25,54.4,65.7,40.62,
10/31/2018,270.63,150.03,39.55,37.86,100.66,112.23,84.35,108.84,78.32,55.25,66.07,40.56,
11/1/2018,273.51,153.49,40.07,39.22,100.53,112.2,84.32,108.61,78.69,56.4,67.235,41.02,
11/2/2018,271.89,154,40.18,39.36,99.97,111.75,84.27,108.28,78.04,56.3,68.03,40.73,
11/5/2018,273.39,153.88,40.16,39.54,100.03,111.95,84.34,108.48,79.2,56.25,67.41,41.27,
11/6/2018,275.12,154.64,40.37,39.39,99.92,112.14,84.56,108.44,79.6,56.3,66.8899,41.41,
11/7/2018,281.01,157.41,40.87,40.09,99.92,112.43,85.05,108.52,80.55,57.1,67.12,42,
11/8/2018,280.5,156.99,40.46,39.12,99.78,112.1,84.84,108.37,80.61,56.5,66.89,41.56,
11/9/2018,277.76,154.08,40.17,38.45,100.17,112.18,84.36,108.63,80.6,56,65.42,41.42,
11/12/2018,272.57,151.03,39.48,37.94,100.47,112.17,83.84,108.86,80.76,54.65,64.82,40.91,
11/13/2018,272.06,150.55,39.63,38.39,100.55,112.02,83.7,108.77,80.68,55,64.27,41.03,
11/14/2018,270.2,149.45,39.67,38.69,100.76,111.72,83.54,108.78,80.48,55.05,65.05,40.94,
11/15/2018,273.02,151.58,39.8,39.45,100.83,111.51,83.52,108.87,79.93,54.9,64.9301,40.85,
11/16/2018,273.73,151.94,39.84,39.59,101.14,111.73,83.27,109.32,80.79,54.8,65.36,41.16,
11/19/2018,269.1,148.86,39.51,39.1,101.29,111.62,83.01,109.27,80.9,53.95,64.635,40.98,
11/20/2018,264.12,145.99,38.78,38.28,101.27,111.35,82.75,109.11,80.07,53,63.67,40.62,
11/21/2018,265.02,148.03,39.35,39,101.25,111.59,83.17,109.06,80.14,54.075,64.27,40.69,
11/23/2018,263.25,147.89,39.09,38.59,101.31,111.64,82.71,108.89,79.98,54.25,63.61,40.49,
11/26/2018,267.5,149.81,39.62,38.86,101.23,111.69,83.1,108.77,80.13,54.8,63.68,40.92,
11/27/2018,268.4,148.57,39.5,39.14,101.33,111.55,83.06,108.48,80.47,54.4,62.69,41.06,
11/28/2018,274.58,152.24,40.08,40.01,101.32,111.85,83.75,108.61,81.19,55.35,63.08,41.36,
11/29/2018,273.98,151.83,39.89,39.74,101.58,111.53,83.77,109.25,81.21,55.1,63.7,41.2,
11/30/2018,275.65,152.62,39.75,39.69,101.78,111.46,83.6,109.27,81.98,54.65,63.49,41.34,
12/3/2018,279.3,154.08,40.28,40.48,101.79,111.52,83.8,109.32,82.42,55.6,64.42,41.59,
12/4/2018,270.25,147.52,39.26,39.73,102.26,111.54,83.28,109.65,81.2,53.8,62.325,41.21,
12/6/2018,269.84,147.2,38.89,39.41,102.52,111.88,82.99,109.66,83.21,53.2,63.03,41.35,
12/7/2018,263.57,144.02,38.48,38.62,102.82,111.89,82.83,109.82,82.12,52.4,61.13,41.21,
12/10/2018,264.07,143.6,38.15,38.17,102.88,112.23,82.89,109.55,81.59,51.8,60.36,40.88,
12/11/2018,264.13,143.45,38.19,38.56,102.62,112.43,83.04,109.11,81.63,51.75,60.16,41.13,
12/12/2018,265.46,144.82,38.79,39.14,102.34,112.55,83.31,108.95,80.37,52.6,60.57,41.4,
12/13/2018,265.37,142.77,38.72,39.2,102.4,112.85,83.51,108.97,79.88,52.3,60.11,41.48,
12/14/2018,260.47,140.61,38.19,38.71,102.56,112.73,83.16,109.05,79.65,51.45,59.41,41.3,
12/17/2018,255.36,137.02,37.86,38.29,102.86,112.85,82.62,109.24,76.65,50.194,58.2,40.69,
12/18/2018,255.08,136.85,37.9,38.53,102.9,112.9,82.08,109.34,77.44,50.45,58.1,39.67,
12/19/2018,251.26,134,37.49,37.89,103.26,112.81,81.34,109.53,76.59,49.75,57.622,39.73,
12/20/2018,247.17,131.79,37.35,38.18,103.13,112.44,80.63,109.22,75.44,49.25,56.76,39.59,
12/21/2018,240.7,128.37,36.62,37.87,103.22,112.33,80.23,109.17,74.39,48.95,55.97,39.1,
12/24/2018,234.34,125.88,35.84,37.32,103.48,112.07,79.63,109.33,71.74,48.6,55.24,38.21,
12/26/2018,246.18,131.93,36.75,37.98,102.99,111.98,80.97,109.11,74.14,50,56.955,39.13,
12/27/2018,248.07,132.48,36.78,37.9,103.25,111.98,80.92,109.11,74.13,50.05,56.24,39.2,
12/28/2018,247.75,132.86,37.02,38.17,103.81,112.51,81.04,109.43,74.37,50.3,56.94,39.35,
12/31/2018,249.92,133.9,37.1,38.1,104.2,112.82,81.1,109.51,74.57,50.05,57.13,39.38,
1/2/2019,250.18,134.66,37.05,38.27,104.42,113.17,80.99,109.68,72.95,50.05,57.295,39.44,
1/3/2019,244.21,132.25,36.75,37.67,105.25,113.22,81.03,110.32,73.46,49.2,57.05,39.26,
1/4/2019,252.39,137.19,37.88,38.86,104.4,113.15,82.39,110.09,74.32,51.15,59.05,40.15,
1/7/2019,254.38,139.59,38,38.94,104.11,113.16,83.19,110.02,75.05,51.9,59.42,40.19,
1/8/2019,256.77,141.73,38.27,39.16,103.85,113.41,83.73,110.11,76.6,52.5,59.98,40.78,
1/9/2019,257.97,142.9,38.74,39.73,103.91,113.84,83.83,110.24,76.49,53.15,61.09,40.91,
1/10/2019,258.88,143.64,38.9,40.03,103.86,113.54,84.16,109.98,77.53,53.35,62.31,41.32,
1/11/2019,258.98,143.68,38.66,39.78,104.17,113.75,83.89,110.27,77.75,53.2,61.96,40.95,
1/14/2019,257.4,142.25,38.46,39.5,104.11,113.45,83.62,110.07,77.49,52.6,61.63,40.71,
1/15/2019,260.35,143.45,38.7,39.76,104.01,113.52,83.9,109.97,78.23,53.1,62.12,41,
1/16/2019,260.98,144.52,38.82,40.15,103.95,113.74,84.03,109.96,78.78,53.6,62.7525,41.16,
1/17/2019,262.96,145.83,38.95,40.34,103.76,113.97,84.26,109.87,79.16,53.75,62.91,41.37,
1/18/2019,266.46,147.33,39.37,40.55,103.43,114.17,84.5,109.74,79.43,54.3,63.52,41.5,
1/22/2019,262.86,145,38.76,39.87,103.79,114.36,83.94,109.81,79.19,53.8,62.9328,41.27,
1/23/2019,263.41,144.6,38.96,40.26,103.74,114.65,84.11,109.68,79.2,53.95,62.85,41.59,
1/24/2019,263.55,145.47,39.01,40.6,104.07,114.95,84.2,109.85,79.47,54.1,64,41.8,
1/25/2019,265.78,147.34,39.5,41,103.83,115.05,84.41,109.68,80.46,54.55,65.5863,42.05,
1/28/2019,263.76,146.55,39.31,40.57,103.86,115.03,84.28,109.53,81.25,54.4,64.92,41.85,
1/29/2019,263.41,146.2,39.42,40.62,104.16,115.28,84.23,109.85,81.89,54.45,65.58,42.11,
1/30/2019,267.58,147.8,39.86,41.34,104.4,115.81,84.9,110.45,82.55,55,66.3,42.48,
1/31/2019,269.93,149.06,39.87,41.78,104.88,116.62,85.11,111.07,83.41,55.55,65.92,42.72,
2/1/2019,270.06,149.18,39.85,41.47,104.1,115.99,84.68,110.68,82.88,55.7,66.32,42.58,
2/4/2019,271.96,150.96,39.99,41.56,103.87,115.83,84.88,110.46,83.5,55.9,65.99,42.88,
2/5/2019,273.1,151.12,40.31,42.03,104.05,116.3,85.18,110.61,83.98,56.25,66.9,42.93,
2/6/2019,272.74,150.93,40.05,41.53,104.13,116.08,85.1,110.54,83.43,56.15,66.54,42.73,
2/7/2019,270.14,149.69,39.54,41.14,104.47,116.06,84.81,110.71,84.12,55.7485,65.04,42.65,
2/8/2019,270.47,149.85,39.4,40.98,104.61,116.35,84.79,110.76,84.12,55.55,63.98,42.51,
2/11/2019,270.62,151.1,39.32,40.74,104.45,116.09,84.83,110.53,84.35,55.45,63.78,42.5,
2/12/2019,274.1,152.99,39.84,41.14,104.31,116.25,85.24,110.55,83.82,55.95,64.12,42.71,
2/13/2019,274.99,153.42,39.85,40.85,104.05,115.95,85.12,110.53,84.25,56.1,64.25,42.68,
2/14/2019,274.38,153.77,39.85,40.93,104.54,116.08,85.13,110.84,84.52,55.85,63.72,42.77,
2/15/2019,277.37,156.22,40.39,40.86,104.44,116.22,85.4,110.84,85.09,56.35,64.39,43.12,
2/19/2019,277.85,156.65,40.59,41.28,104.62,116.29,85.43,111.1,85.07,56.8,64.75,43.32,
2/20/2019,278.41,157.39,40.75,41.46,104.6,116.19,85.5,111.14,84.54,56.9,65.15,43.44,
2/21/2019,277.42,156.79,40.65,41.37,104.29,115.86,85.42,110.95,84.62,56.6,64.49,43.62,
2/22/2019,279.14,158.15,40.8,41.84,104.6,116.38,85.59,111.24,85.12,57,64.8858,43.86,
2/25/2019,279.52,158.19,40.93,42.4,104.44,116.34,85.66,111.16,84.45,57.15,65.48,43.65,
2/26/2019,279.32,157.1,41.1,42.27,104.75,116.52,85.77,111.32,84.19,57.35,65.5,43.84,
2/27/2019,279.2,157.32,40.97,41.94,104.38,116.19,85.8,111.06,83.77,57.05,64.985,43.76,
2/28/2019,278.68,156.78,40.8,41.62,104.11,116.03,85.75,110.88,83.99,57.1,63.69,43.87,
3/1/2019,280.42,158.24,41.05,41.67,103.57,115.47,85.61,110.66,83.73,57.25,64.39,43.9,
3/4/2019,279.4,156.81,40.89,41.82,103.89,115.73,85.48,110.82,84.11,57.35,64.25,43.73,
3/5/2019,279.02,156.08,40.92,42.31,103.95,115.77,85.44,110.78,84.34,57.05,64.09,43.7,
3/6/2019,277.33,153.02,40.8,42.1,104.24,115.88,85.3,110.91,83.95,56.95,63.44,43.775,
3/7/2019,275.01,151.68,40.28,41.42,104.59,116.26,85.24,111.22,83.77,55.95,62.38,43.66,
3/8/2019,274.46,151.64,40.23,41.12,104.74,116.41,85.1,111.32,83.86,55.75,62.67,43.77,
3/11/2019,278.44,154.29,40.6,41.96,104.66,116.54,85.38,111.3,85.09,56.35,64.28,44.08,
3/12/2019,279.49,154.37,40.62,42.13,104.95,116.86,85.53,111.51,85.48,56.6,64.2658,44.21,
3/13/2019,281.34,154.98,40.92,42.22,104.91,116.67,85.76,111.64,85.9,56.9,64.35,44.31,
3/14/2019,281.16,154.35,40.88,42,104.76,116.44,85.7,111.61,86.03,57,63.9,44.33,
3/15/2019,281.31,154.76,41.29,42.57,105.09,116.86,85.78,112,85.76,57.55,63.6,44.59,
3/18/2019,282.33,155.75,41.43,43.05,104.95,116.8,85.75,111.99,85.33,57.9,64.1444,44.78,
3/19/2019,282.4,154.96,41.54,43.06,104.88,116.82,85.8,111.89,85.07,57.8,64.64,44.83,
3/20/2019,281.55,153.26,41.5,43.05,105.61,117.61,86.17,112.63,85.33,58,64.06,44.81,
3/21/2019,284.73,155.27,41.54,43.15,105.56,117.83,86.15,112.62,86.85,58,64.45,44.83,
3/22/2019,279.25,149.62,40.74,41.85,106.34,118.55,85.84,112.96,86.22,57,62.56,44.46,
3/25/2019,279.04,150.28,40.74,41.96,106.61,118.79,85.81,112.93,86.33,56.45,62.08,44.62,
3/26/2019,281.12,151.86,40.99,42.1,106.52,118.84,86.02,112.73,87.02,56.75,62.19,44.87,
3/27/2019,279.65,151.27,40.93,41.64,106.83,119,86.08,112.78,86.77,57,62.5114,44.755,
3/28/2019,280.71,152.62,40.73,42,106.84,119.15,86.25,112.87,86.99,57,63.26,44.59,
3/29/2019,282.48,153.09,40.87,42.5,106.67,119.06,86.47,113.07,86.91,57.25,63.52,44.8177,
4/1/2019,285.83,154.76,41.4,43.14,105.72,118.26,86.07,112.65,86.86,58,65.09,44.91,
4/2/2019,285.97,154.36,41.43,43.01,105.9,118.42,86.11,112.76,87.47,58,65.27,44.98,
4/3/2019,286.42,155.16,41.75,43.22,105.57,118.17,86.14,112.41,87.37,58.55,66.05,45,
4/4/2019,287.18,155.92,41.67,43.5,105.68,118.36,86.27,112.49,87.23,58.35,65.51,44.95,
4/5/2019,288.57,157.38,41.76,43.85,105.73,118.55,86.43,112.62,87.84,58.65,66.28,45.18,
4/8/2019,288.79,157.12,41.79,43.82,105.56,118.38,86.38,112.51,87.35,58.6,65.97,45.1,
4/9/2019,287.31,155.2,41.54,43.76,105.75,118.63,86.32,112.62,86.89,58.1,65.05,44.91,
4/10/2019,288.29,157.31,41.71,43.97,106,119.21,86.7,113.03,87.69,58.65,65.01,45.03,
4/11/2019,288.21,157.11,41.63,43.46,105.76,119.09,86.83,112.77,87.63,58.55,65.202,45.13,
4/12/2019,290.16,157.68,41.94,43.73,105.27,119.02,86.96,112.56,88.05,59.05,65.85,45.17,
4/15/2019,289.97,157.17,41.96,43.5,105.41,118.83,86.9,112.62,87.6,59.1,65.36,45.11,
4/16/2019,290.16,157.54,42.03,43.85,105.05,118.5,86.85,112.36,85.62,59.35,64.39,44.85,
4/17/2019,289.45,156.1,42.1,43.96,105.07,118.48,86.64,112.34,84.84,59.4,63.99,44.88,
4/18/2019,290.02,155.64,42.02,44.01,105.32,118.58,86.68,112.66,85.49,59.85,63.92,44.82,
4/22/2019,290.27,155.23,41.98,43.75,105.17,118.39,86.53,112.55,84.55,59.65,63.19,44.9,
4/23/2019,292.88,157.57,42.08,43.85,105.36,118.88,86.83,112.81,85.67,60,63.55,45,
4/24/2019,292.23,158.06,41.71,43.34,105.76,119.28,86.71,113.2,86.3,60.1,63.2,44.9,
4/25/2019,292.05,156.75,41.68,43.26,105.63,119.22,86.75,113.2,86.12,59.85,63.99,45.18,
4/26/2019,293.41,158.27,41.84,43.46,105.91,119.64,86.97,113.45,86.8,60.25,64.445,45.21,
4/29/2019,293.87,159.03,42,43.38,105.69,119.17,86.93,113.13,85.95,60.6,64.38,45.09,
4/30/2019,294.02,158.29,42.03,43.41,105.9,119.22,86.94,113.32,86.77,60.5,64.15,45.49,
5/1/2019,291.81,156.79,41.75,43.17,105.64,118.83,86.29,113.04,86.84,60.2,63.6,45.11,
5/2/2019,291.18,157.52,41.67,43.23,105.34,118.4,86.35,112.58,86.93,60.2,63.77,44.96,
5/3/2019,294.03,160.53,42.08,43.79,105.48,118.93,86.57,112.89,87.67,61,64.5,45.18,
5/6/2019,292.82,160.71,41.68,42.86,105.75,119.09,86.61,113.06,87.39,60.45,64,44.965,
5/7/2019,287.93,157.53,40.98,42.05,106.11,119.08,86.09,113.12,85.81,59.5,62.16,44.64,
5/8/2019,287.53,156.76,41.04,41.94,105.91,118.68,86.12,112.83,85.72,59.85,61.54,44.5,
5/9/2019,286.66,156.19,40.74,41.35,106.19,118.79,85.99,113.02,85.94,59.6,61.48,44.47,
5/10/2019,288.1,156.62,41.01,41.69,106.12,118.86,86.23,113.27,86.86,59.85,61.68,44.9,
5/13/2019,280.86,151.63,40.09,40.28,106.65,118.93,85.44,113.51,86.77,58.5,59.38,44.73,
5/14/2019,283.4,153.54,40.47,40.84,106.55,119.1,85.63,113.59,87.09,59.05,59.8739,44.94,
