Updated at 19:42:44,Price Close,,,,,,,,,,,,
,SPY,IWM,VEA,VWO,IEF.O,LQD,HYG,TIP,VNQ,PSP,WOOD.O,IGF.O,
8/5/2016,218.18,122.3,36.64,37.49,111.88,122.46,85.54,115.71,90.33,53.5,48.369,41.23,
8/8/2016,218.05,122.24,36.76,37.73,111.82,122.54,85.89,115.79,90.49,53.85,48.47,41.36,
8/9/2016,218.18,122.37,37.06,37.98,112.22,123.26,86.19,116.07,90.98,54.08,48.82,41.36,
8/10/2016,217.64,121.4892,37.19,37.89,112.52,123.61,86.03,116.1,90.88,53.95,49.0801,41.33,
8/11/2016,218.65,122.07,37.47,38.33,111.98,123.2,86.24,115.79,89.85,54.4,49.54,41.62,
8/12/2016,218.46,122.19,37.37,38.18,112.38,123.76,86.31,116.09,90.23,54.3,49.225,41.7,
8/15/2016,219.09,123.4,37.53,38.6,112.05,123.38,86.565,115.79,90.14,54.55,49.3048,41.65,
8/16/2016,217.96,122.4,37.44,38.4,111.86,123.16,86.39,115.63,89.06,54.4,48.952,41.43,
8/17/2016,218.37,122.04,37.44,38.26,112.04,123.5,86.51,115.98,89.42,54.175,48.76,41.56,
8/18/2016,218.86,122.94,37.63,38.57,112.24,123.8,86.85,116.18,89.09,54.75,48.9,42.03,
8/19/2016,218.54,122.94,37.35,38.34,111.86,123.43,86.59,115.99,88.52,54.515,48.7034,41.65,
8/22/2016,218.53,123.22,37.38,37.86,112.11,123.85,86.45,116.23,89,54.55,48.4028,41.59,
8/23/2016,218.97,124.08,37.54,37.67,112.1,123.99,86.74,116.39,89.05,54.55,48.8609,41.66,
8/24/2016,217.85,123.07,37.43,37.78,112.06,123.91,86.5,116.21,88.66,54.5,49.1845,41.55,
8/25/2016,217.7,123.31,37.31,37.77,111.88,123.79,86.66,116.15,89.06,54.25,49.4643,41.43,
8/26/2016,217.29,123.06,37.05,37.47,111.45,123.4,86.56,115.7,88.18,54,49.0823,40.94,
8/29/2016,218.3608,123.7,37.19,37.75,111.91,124.1,86.99,116.12,89.05,54.4,49.72,41.15,
8/30/2016,218,123.93,37.11,37.69,111.9,123.94,87.04,116.02,88.88,54.4,49.93,40.91,
8/31/2016,217.38,123.23,36.98,37.33,111.77,123.89,86.7,116.04,88.97,54.35,49.712,40.8,
9/1/2016,217.39,123.32,37.29,37.53,111.79,123.57,86.5,115.72,88.75,54.775,50.32,40.93,
9/2/2016,218.37,124.51,37.67,38.1,111.5,123.35,86.9,115.59,89.52,54.975,50.68,41.35,
9/6/2016,219.0308,124.6292,38.03,38.76,112.02,123.78,87,116.14,90.21,55.55,51.16,41.98,
9/7/2016,219.01,125.41,38.03,38.71,112.08,123.61,86.76,116.29,90.75,55.55,50.98,42.09,
9/8/2016,218.51,125.16,37.95,38.63,111.53,122.74,86.6,115.88,89.64,55.7,50.76,42.36,
9/9/2016,213.28,121.25,37.15,37.41,111,121.82,85.77,115.08,86.09,54.7,49.437,41.18,
9/12/2016,216.34,122.94,37.44,37.72,111.1,121.83,86.07,115.12,87.11,54.95,49.67,41.45,
9/13/2016,213.23,120.58,36.48,36.34,110.69,121.43,85.41,114.61,84.34,54.45,48.66,40.51,
